Node	Period	Operationalhour	Value
Germany	2	127	95224.00309527788
Germany	2	128	95456.97363450019
Germany	2	129	95052.9749681586
Germany	2	130	94749.84149505908
Germany	2	131	95004.46948326971
Germany	2	132	95432.09241240723
Germany	2	133	95210.87058754756
Germany	2	134	94869.40683087571
Germany	2	135	94554.72291022017
Germany	2	136	94056.19907131397
Germany	2	137	93848.71155173559
Germany	2	138	93764.37548617834
Germany	2	139	93741.48738356263
Germany	2	140	93759.97654935224
Germany	2	141	93792.41183863523
Germany	2	142	93718.98004887263
Germany	2	143	93629.24671532503
Germany	2	144	93724.7940890134
Germany	2	145	100618.04359253585
Germany	2	146	100731.50238156486
Germany	2	147	100766.25194978059
Germany	2	148	101080.5525339434
Germany	2	149	101171.00599626974
Germany	2	150	101345.72165570733
Germany	2	151	101476.77774203835
Germany	2	152	101461.40725953167
Germany	2	153	101473.334356449
Germany	2	154	100860.11908203254
Germany	2	155	100506.22726929293
Germany	2	156	100457.03761556419
Germany	2	157	100701.32189560104
Germany	2	158	101323.01242278829
Germany	2	159	101925.0013762419
Germany	2	160	102564.28800501884
Germany	2	161	102665.99670683045
Germany	2	162	102255.68618547804
