Node	Period	Season	Operationalhour	Scenario	HydroGeneratorMaxSeasonalProduction
Germany	2	summer	138	scenario1	189.9175
Germany	2	summer	139	scenario1	194.71
Germany	2	summer	140	scenario1	197.465
Germany	2	summer	141	scenario1	199.735
Germany	2	summer	142	scenario1	217.33
Germany	2	summer	143	scenario1	269.4075
Germany	2	summer	144	scenario1	269.3275
France	2	summer	97	scenario1	2070.0
France	2	summer	98	scenario1	2341.0
France	2	summer	99	scenario1	2803.0
France	2	summer	100	scenario1	2747.0
France	2	summer	101	scenario1	2459.0
France	2	summer	102	scenario1	1978.0
France	2	summer	103	scenario1	2447.0
France	2	summer	104	scenario1	1754.0
France	2	summer	105	scenario1	1051.0
France	2	summer	106	scenario1	925.0
France	2	summer	107	scenario1	773.0
France	2	summer	108	scenario1	744.0
France	2	summer	109	scenario1	772.0
France	2	summer	110	scenario1	1054.0
France	2	summer	111	scenario1	1378.0
France	2	summer	112	scenario1	1698.0
France	2	summer	113	scenario1	2068.0
France	2	summer	114	scenario1	2110.0
France	2	summer	115	scenario1	1586.0
France	2	summer	116	scenario1	1514.0
France	2	summer	117	scenario1	1565.0
France	2	summer	118	scenario1	1664.0
France	2	summer	119	scenario1	1976.0
France	2	summer	120	scenario1	1953.0
France	2	summer	121	scenario1	2081.0
France	2	summer	122	scenario1	2558.0
France	2	summer	123	scenario1	2824.0
France	2	summer	124	scenario1	2404.0
France	2	summer	125	scenario1	2256.0
France	2	summer	126	scenario1	1768.0
France	2	summer	127	scenario1	1608.0
France	2	summer	128	scenario1	1470.0
France	2	summer	129	scenario1	1037.0
France	2	summer	130	scenario1	989.0
France	2	summer	131	scenario1	994.0
France	2	summer	132	scenario1	786.0
France	2	summer	133	scenario1	1060.0
France	2	summer	134	scenario1	1333.0
France	2	summer	135	scenario1	1520.0
France	2	summer	136	scenario1	1654.0
France	2	summer	137	scenario1	2004.0
France	2	summer	138	scenario1	2112.0
France	2	summer	139	scenario1	2005.0
France	2	summer	140	scenario1	1923.0
France	2	summer	141	scenario1	1773.0
France	2	summer	142	scenario1	1813.0
