Node	Operationalhour	Scenario	Period	ElectricLoadRaw_in_MW
Denmark	41	scenario1	2	2930.43
Denmark	42	scenario1	2	2942.62
Denmark	43	scenario1	2	3007.92
Denmark	44	scenario1	2	3155.65
Denmark	45	scenario1	2	3398.2
Denmark	46	scenario1	2	3699.22
Denmark	47	scenario1	2	3928.97
Denmark	48	scenario1	2	4082.74
France	1	scenario1	2	87166.0
France	2	scenario1	2	85701.0
France	3	scenario1	2	83152.0
France	4	scenario1	2	80703.0
France	5	scenario1	2	78455.0
France	6	scenario1	2	78358.0
France	7	scenario1	2	83036.0
France	8	scenario1	2	87625.0
France	9	scenario1	2	87684.0
France	10	scenario1	2	84178.0
France	11	scenario1	2	80747.0
France	12	scenario1	2	81417.0
France	13	scenario1	2	82507.0
France	14	scenario1	2	79976.0
France	15	scenario1	2	78416.0
France	16	scenario1	2	76767.0
France	17	scenario1	2	73738.0
France	18	scenario1	2	72209.0
France	19	scenario1	2	72826.0
France	20	scenario1	2	74260.0
France	21	scenario1	2	76927.0
France	22	scenario1	2	79586.0
France	23	scenario1	2	82089.0
France	24	scenario1	2	82897.0
France	25	scenario1	2	82799.0
France	26	scenario1	2	83437.0
France	27	scenario1	2	81127.0
France	28	scenario1	2	77878.0
France	29	scenario1	2	75537.0
France	30	scenario1	2	74753.0
France	31	scenario1	2	77789.0
France	32	scenario1	2	81704.0
France	33	scenario1	2	81986.0
France	34	scenario1	2	79288.0
France	35	scenario1	2	76059.0
France	36	scenario1	2	77108.0
France	37	scenario1	2	78459.0
France	38	scenario1	2	75950.0
France	39	scenario1	2	73387.0
France	40	scenario1	2	71317.0
France	41	scenario1	2	67904.0
France	42	scenario1	2	65771.0
France	43	scenario1	2	65538.0
France	44	scenario1	2	66058.0
France	45	scenario1	2	66900.0
France	46	scenario1	2	68410.0
France	47	scenario1	2	71039.0
France	48	scenario1	2	73588.0
Germany	49	scenario1	2	45287.82
Germany	50	scenario1	2	46834.5375
Germany	51	scenario1	2	50066.6075
Germany	52	scenario1	2	57367.1225
Germany	53	scenario1	2	62177.02
Germany	54	scenario1	2	64659.8625
Germany	55	scenario1	2	66548.785
Germany	56	scenario1	2	67275.7375
Germany	57	scenario1	2	67585.1975
Germany	58	scenario1	2	66379.9
